date,close
2019-02-08,1588.220
2019-02-07,1614.370
2019-02-06,1640.260
2019-02-05,1658.810
2019-02-04,1633.310
2019-02-01,1626.230
2019-01-31,1718.730
2019-01-30,1670.430
2019-01-29,1593.880
2019-01-28,1637.890
2019-01-25,1670.570
2019-01-24,1654.930
2019-01-23,1640.020
2019-01-22,1632.170
2019-01-18,1696.200
2019-01-17,1693.220
2019-01-16,1683.780
2019-01-15,1674.560
2019-01-14,1617.210
2019-01-11,1640.560
2019-01-10,1656.220
2019-01-09,1659.420
2019-01-08,1656.580
2019-01-07,1629.510
2019-01-04,1575.390
2019-01-03,1500.280
2019-01-02,1539.130
2018-12-31,1501.970
2018-12-28,1478.020
2018-12-27,1461.640
2018-12-26,1470.900
2018-12-24,1343.960
2018-12-21,1377.450
2018-12-20,1460.830
2018-12-19,1495.080
2018-12-18,1551.480
2018-12-17,1520.910
2018-12-14,1591.910
2018-12-13,1658.380
2018-12-12,1663.540
2018-12-11,1643.240
2018-12-10,1641.030
2018-12-07,1629.130
2018-12-06,1699.190
2018-12-04,1668.400
2018-12-03,1772.360
2018-11-30,1690.170
2018-11-29,1673.570
2018-11-28,1677.750
2018-11-27,1581.420
2018-11-26,1581.330
2018-11-23,1502.060
2018-11-21,1516.730
2018-11-20,1495.460
2018-11-19,1512.290
2018-11-16,1593.410
2018-11-15,1619.440
2018-11-14,1599.010
2018-11-13,1631.170
2018-11-12,1636.850
2018-11-09,1712.430
2018-11-08,1754.910
2018-11-07,1755.490
2018-11-06,1642.810
2018-11-05,1627.800
2018-11-02,1665.530
2018-11-01,1665.530
2018-10-31,1598.010
2018-10-30,1530.420
2018-10-29,1538.880
2018-10-26,1642.810
2018-10-25,1782.170
2018-10-24,1664.200
2018-10-23,1768.700
2018-10-22,1789.300
2018-10-19,1764.030
2018-10-18,1770.720
2018-10-17,1831.730
2018-10-16,1819.960
2018-10-15,1760.950
2018-10-12,1788.610
2018-10-11,1719.360
2018-10-10,1755.250
2018-10-09,1870.320
2018-10-08,1864.420
2018-10-05,1889.650
2018-10-04,1909.420
2018-10-03,1952.760
2018-10-02,1971.310
2018-10-01,2004.360
2018-09-28,2003.000
2018-09-27,2012.980
2018-09-26,1974.850
